61.861,30.958	Zaranj, Nimruz, Afghanistan	      1 Zaranj
62.211,34.353	Herat, Afghanistan	      1 Herat
64.204,31.133	Garmsir, Helmand, Afghanistan	      1 Garmsir	      1 Camp Dwyer
65.108,36.951	Andkhoy, Faryab, Afghanistan	      1 Andkhoy
65.759,35.902	Maymana, Faryab, Afghanistan	      1 Maimana	      1 Maymana
65.951,32.548	Lashkar Gah, Helmand, Afghanistan	      1 Lashkar Gah	      1 Camp Bastion	      1 Op Herrick
65.951,32.548	Helmand, Afghanistan	      1 Helmand Province	      1 Helmand
65.951,32.548	Tarinkot, Urozgan, Afghanistan	      1 Tarin Kowt
65.750,31.635	Kandahar, Afghanistan	      2 Kandahar	      2 Khandahar
66.877,36.757	Balkh, Afghanistan	      1 Balkh
67.148,36.703	Mazari Sharif, Balkh, Afghanistan	      1 Mazar City	      1 Mazaar e Sharif	      1 Mazar-i-Sharif	      1 Mazaar E Sharif	      1 Mazar E Sharif
68.575,34.064	Chaki Wardak, Wardak, Afghanistan	      1 Chak-e-Wardak
68.718,35.938	Pol-e-Khomri, Baghlan, Afghanistan	      1 Pul-e-Khumri	      1 Pul-e Khumri	      1 Pul E Khumri
68.881,36.712	Kunduz, Afghanistan	      1 Kunduz
68.810,34.353	Maidan Shahr, Wardak, Afghanistan	      1 Maidan Shahr
68.810,34.353	Baraki Barak, Logar, Afghanistan	      1 FOB Shank	      1 Baraki Barak
69.172,34.528	Kabul, Kabol, Afghanistan	     12 Kabul	      1 Kaboul	      1 Kabol
69.283,34.967	Bagram, Parwan, Afghanistan	      1 Bagram
69.917,33.338	Khost, Afghanistan	      1 Khost
70.448,34.434	Jalalabad, Nangarhar, Afghanistan	      2 Jalalabad
70.485,35.473	Nuristan, Afghanistan	      2 Nuristan Province	      2 Nuristan
19.467,41.332	Durrës, Albania	      1 Durres
19.485,40.465	Vlorë, Albania	      1 Vlore	      1 Vlora
19.507,42.066	Shkoder, Albania	      1 Shkodra	      1 Shkoder
19.561,40.727	Fier, Albania	      1 Fier
19.704,40.935	Lushnjë, Fier, Albania	      1 Lushnja	      1 Lushnje
19.718,41.532	Borizane, Kruje, Durrës, Albania	      1 Borizane	      1 Burizane
19.712,41.479	Fushe-Kruje, Kruje, Durrës, Albania	      1 Fushe Kruja	      1 Fushe Kruje	      1 Fushe-Kruje
19.817,41.332	Tiranë, Albania	     54 Tirana	      1 Tirane	      1 Trana	      1 Shefqet Ndroqi	      1 Tiranes	      1 Tiran	      1 Tiara Albania	      1 Tyrana	      1 Titana
20.089,41.109	Elbasan, Albania	      1 Elbasan
20.110,40.070	Gjirokaster, Albania	      1 Gjirokastra	      1 Gjirokaster	      1 Gyrocaster
20.658,40.898	Pogradec, Albania	      1 Pogradec
-0.344,27.977	Adrar, Algeria	      2 Adrar
-0.462,33.275	Naama, Algeria	      2 Naama	      1 naama
-0.623,35.708	Oran, Algeria	     21 Oran	      1 C. Oran	      1 ORAN
-0.569,35.717	Bir El Djir, Oran, Algeria	      2 Bir El Djir	      2 Bir El-Djir
-0.633,35.65	Es Senia, Oran, Algeria	      2 Es Senia	      1 Es-Senia	      1 Es senia	      1 ES-Senia	      1 Es-senia	      1 Es-Serna
-0.635,35.2	Sidi Bel Abbès, Sidi-Bel-Abbes, Algeria	      7 Sidi Bel Abbes	      2 Sidi Bel-Abbes	      1 Sidi-Bel-Abbes	      1 Bel Abbes	      1 Bel-Abbes	      1 Sidi bel Abbes	      1 Sidi-bel-Abbes	      1 SidiBelAbbes	      1 Sidi-Bel-abbes	      1 Sidi-Belab	      1 Sidi Beiabbes	      1 Sid Belabbe	      1 Sidi Bel Abes
-1.153,35.300	Ain Temouchent, Algeria	      1 Ain Temouchent
-1.316,34.88	Tlemcen, Algeria	     17 Tlemcen	      3 Bekr Belkaid	      3 Tilimsen	      1 deTlemcen	      1 TLEMCEN
-1.754,34.848	Maghnia, Tlemcen, Algeria	      1 Maghnia
-1.878,31.614	Béchar, Algeria	      1 Bechar
0.048,35.578	Mohammadia, Mascara, Algeria	      1 Mohammadia Masc	      1 Mohammadia Mascara
0.074,34.847	Saida, Algeria	      1 Saida
0.098,35.932	Mostaganem, Algeria	      2 Mostaganem
0.217,35.374	Mascara, Algeria	      1 Mascara
0.560,35.730	Relizane, Algeria	      2 Relizane
0.875,36.120	Mazouna, Relizane, Algeria	      2 Mazouna
1.018,33.683	El Bayadh, Algeria	      1 El-Bayadh	      1 El Bayadh	      1 El bayadh
1.317,35.371	Tiaret, Algeria	      1 Tiaret
1.355,36.169	Chlef, Algeria	      1 Chlef	      1 ChlefAlgerie
1.914,36.254	Ain Defla, Algeria	      1 Ain Defla	      1 Wilaya de Ain-Eddefla
2.205,36.256	Khemis Miliana, Ain Defla, Algeria	      1 Khemis Miliana
2.421,36.574	Tipaza, Algeria	      3 Tipaza	      1 Tipasa
2.376,36.524	Hadjout, Tipaza, Algeria	      3 Hadjout
2.449,27.196	Ain Salah, Tamanrasset, Algeria	      1 Ain Salah	      1 In Salah
2.647,36.627	Kolea, Tipaza, Algeria	      3 Kolea
2.699,36.642	Bou Ismail, Tipaza, Algeria	      3 Bousmail	      3 Bou Ismail	      1 Bou-Ismail
2.773,36.284	Médéa, Algeria	      3 Medea	      1 Yahia Fares
2.831,36.477	Blida, Algeria	      3 Blida	      1 Blidah	      1 Saad Dahlab
2.847,36.758	Sidi Fredj, Staouéli, Alger, Algeria	      1 Sidi Fredj	      1 Sidi-Fredj
2.908,36.577	Boufarik, Blida, Algeria	      3 Boufarik
2.894,33.782	Laghouat, Algeria	      3 Laghouat	      1 Telidji
2.906,35.447	Ain Oussera, Djelfa, Algeria	      2 Ain Oussera
2.911,36.760	Cheraga, Alger, Algeria	      1 Cheraga
2.941,36.669	Douera, Algeria	      3 Douera
2.964,36.752	Dely Ibrahim, Alger, Algeria	      1 Dely Ibrahim	      1 Dely Brahim	      1 Dely-Ibrahim	      1 Delly Ibrahim	      1 Dely-Brahim
2.994,36.713	Draria, Alger, Algeria	      1 Draria
3.051,36.74	Alger, Algeria	    110 Alger	     50 Algiers	      1 d'ALger	      1 Dar El Beida	      1 Dar-El-Beida	      1 Sidi M hamed	      1 Bab-El-Oued	      1 Bab El Oued	      1 Bab El-Oued	      1 Bab-El Oued	      1 Bab-el-Oued	      1 Bab el Oued	      1 Bab el-Oued	      1 Bab-el Oued	      1 Bab-EL-Oued	      1 Bab EL Oued	      1 Bab EL-Oued	      1 Bab-EL Oued	      1 BabEl Oued	      1 Beni-Messous	      1 Mustapha Bacha	      1 El Anasser	      1 Debaghine	      1 Merveilles	      1 Ibn Ziri	      1 Sidi M'hamed	      1 Beni Messous	      1 El Kettar	      1 ALGIERS	      1 Algies	      1 Algeirs
3.083,36.726	Kouba, Alger, Algeria	      1 Kouba	      1 Kouba Alger	      1 Mentouri-Kouba
3.238,36.783	Bordj El Bahri, Alger, Algeria	      1 Bordj El Bahri	      1 Bordj El-Bahri	      1 Bordj-El-Bahri
3.1,36.73	Hussein Dey, Alger, Algeria	      1 Hussein-Dey Alger	      1 Hussein-Dey	      1 Hussein-dey	      1 Hussein Dey	      1 Nafissa Hamoud
3.148,36.723	El-Harrach, Alger, Algeria	      1 El-Harrach	      1 El Harrach	      1 Zmirli	      1 El-harrach	      1 Elharrach	      1 EL Harrach
3.183,36.717	Bab Ezzouar, Alger, Algeria	      1 Bab Ezzouar	      1 Bab-Ezzouar	      1 BAb Ezzouar	      1 El Alia	      1 Bab ezzouar
3.287,36.735	Rouiba, Alger, Algeria	      1 Rouiba
3.289,36.789	Ain Taya, Alger, Algeria	      1 Ain Taya
3.224,35.632	Birine, Djelfa, Algeria	      2 Birine
3.254,34.659	Djelfa, Algeria	      2 Djelfa
3.71,36.726	Boumerdes, Algeria	      2 Boumerdes
3.746,32.589	Ghardaia, Algeria	      2 Ghardaia	      2 Ghardaa
3.870,36.373	Bouira, Algeria	      2 Bouira
3.955,36.736	Draa Ben Khedda, Boumerdes, Algeria	      2 Draa Ben Khedda	      1 Khedda
4.178,35.213	Bou Saada, M'Sila, Algeria	      1 Bou Saada
4.255,36.675	Tizi-ouzou, Algeria	      5 Tizi-Ouzou	      1 Tizi Ouzou	      1 Tizi-Wezzu	      1 Tizi-ouzou	      1 Tiziouzou	      1 Tizi ouzou	      1 Tizzi Ouzou	      1 Ouzou
4.519,35.721	M'Sila, Algeria	      5 M'Sila	      2 M'sila	      2 Msila
5.502,22.804	Tamanrasset, Algeria	      1 Tamanrasset	      1 Tamanghasset
4.734,36.069	Bordj Bou Arreridj, Algeria	      5 Bordj Bou Arreridj	      1 Bordj Bou-Arreridj
5.067,36.750	Bejaia, Algeria	     21 Bejaia	      1 Bejaia Algeria	      1 Bejala
5.317,31.950	Ouargla, Algeria	      2 Ouargla
5.409,36.188	Sétif, Algeria	     21 Setif	      2 SETIF	      1 Setifl
5.733,34.850	Biskra, Algeria	      1 Biskra
5.767,36.822	Jijel, Algeria	      1 Jijel
6.067,33.100	Touggourt, Ouargla, Algeria	      2 Touggourt
6.034,31.706	Hassi Messaoud, Ouargla, Algeria	      2 Hassi Messaoud
6.067,35.5	El Biar, Batna, Algeria	      2 El Biar
6.173,35.551	Batna, Algeria	      4 Batna	      1 BATNA
6.243,36.449	Mila, Algeria	      1 Mila
6.565,36.020	Ain M'lila, Oum El Bouaghi, Algeria	      1 Ain M'lila
6.619,36.358	Constantine, Algeria	     20 Constantine	      2 Freres-Mentouri	      2 Mentouri
6.706,36.250	El Khroub, Constantine, Algeria	      2 El Khroub	      2 Khroub
6.577,36.256	Ali Mendjeli, El Khroub, Constantine, Algeria	      2 Ali Mendjeli
6.823,33.371	El Oued, Algeria	      1 El Oued	      1 El-Oued	      1 EL-Oued	      1 EL Oued
6.909,36.873	Skikda, Algeria	      1 Skikda	      1 SKIKDA
